LAT,LON,YEAR,MO,DY,QV2M,KT,DTI,SII
28.67591,77.11321,1998,3,23,0.005485,0.65,8.35,6.11
28.67591,77.11321,1998,3,24,0.002936,0.64,7.41,6
28.67591,77.11321,1998,3,25,0.002588,0.61,7.5,5.79
28.67591,77.11321,1998,3,26,0.00271,0.6,8.17,5.74
28.67591,77.11321,1998,3,27,0.003367,0.63,8.14,6.02
28.67591,77.11321,1998,3,28,0.00354,0.65,8.89,6.28
28.67591,77.11321,1998,3,29,0.005846,0.73,8.64,7.04
28.67591,77.11321,1998,3,30,0.006603,0.69,8.84,6.73
28.67591,77.11321,1998,3,31,0.004886,0.7,8.94,6.83
28.67591,77.11321,1998,4,1,0.004859,0.73,9.18,7.14
28.67591,77.11321,1998,4,2,0.005058,0.61,9.24,6.02
28.67591,77.11321,1998,4,3,0.005546,0.41,9.74,4.1
28.67591,77.11321,1998,4,4,0.008432,0.59,9.07,5.9
28.67591,77.11321,1998,4,5,0.0075,0.59,9.48,5.92
28.67591,77.11321,1998,4,6,0.006491,0.65,9.43,6.5
28.67591,77.11321,1998,4,7,0.007093,0.58,9.42,5.83
28.67591,77.11321,1998,4,8,0.007172,0.53,9.54,5.37
28.67591,77.11321,1998,4,9,0.006656,0.66,8.82,6.65
28.67591,77.11321,1998,4,10,0.006478,0.69,9.12,7.01
28.67591,77.11321,1998,4,11,0.005074,0.59,8.87,6.04
28.67591,77.11321,1998,4,12,0.004403,0.59,8.64,6.07
28.67591,77.11321,1998,4,13,0.004541,0.58,8.67,6
28.67591,77.11321,1998,4,14,0.003764,0.52,8.17,5.32
28.67591,77.11321,1998,4,15,0.003514,0.58,8.2,5.99
28.67591,77.11321,1998,4,16,0.003741,0.73,8.42,7.62
28.67591,77.11321,1998,4,17,0.003306,0.74,8.86,7.74
28.67591,77.11321,1998,4,18,0.003887,0.7,9.74,7.36
28.67591,77.11321,1998,4,19,0.004087,0.74,8.98,7.73
28.67591,77.11321,1998,4,20,0.005344,0.54,8.93,5.67
28.67591,77.11321,1998,4,21,0.00537,0.43,10.51,4.5
28.67591,77.11321,1998,4,22,0.005346,0.53,9.36,5.64
28.67591,77.11321,1998,4,23,0.005689,0.59,9.81,6.28
28.67591,77.11321,1998,4,24,0.005663,0.5,9.58,5.36
28.67591,77.11321,1998,4,25,0.005814,0.59,9.95,6.28
28.67591,77.11321,1998,4,26,0.008664,0.66,9.9,7.07
28.67591,77.11321,1998,4,27,0.008497,0.58,9.9,6.25
28.67591,77.11321,1998,4,28,0.004491,0.73,9.01,7.82
28.67591,77.11321,1998,4,29,0.004846,0.61,10.04,6.54
28.67591,77.11321,1998,4,30,0.005535,0.45,10.02,4.9
28.67591,77.11321,1998,5,1,0.006092,0.56,9.78,6.03
28.67591,77.11321,1998,5,2,0.006635,0.52,9.61,5.64
28.67591,77.11321,1998,5,3,0.006836,0.49,10.2,5.34
28.67591,77.11321,1998,5,4,0.007351,0.51,9.36,5.51
28.67591,77.11321,1998,5,5,0.006164,0.7,10.03,7.62
28.67591,77.11321,1998,5,6,0.006175,0.37,10.53,4.03
28.67591,77.11321,1998,5,7,0.012179,0.44,10.14,4.86
28.67591,77.11321,1998,5,8,0.011803,0.45,9.89,4.91
28.67591,77.11321,1998,5,9,0.010309,0.5,9.25,5.56
28.67591,77.11321,1998,5,10,0.007303,0.4,9.15,4.46
28.67591,77.11321,1998,5,11,0.00738,0.52,9.06,5.75
28.67591,77.11321,1998,5,12,0.006473,0.51,8.8,5.6
28.67591,77.11321,1998,5,13,0.006195,0.55,8.99,6.1
28.67591,77.11321,1998,5,14,0.005719,0.6,9.2,6.71
28.67591,77.11321,1998,5,15,0.004396,0.63,9.15,7.06
28.67591,77.11321,1998,5,16,0.005245,0.68,9.81,7.58
28.67591,77.11321,1998,5,17,0.00593,0.55,9.88,6.09
28.67591,77.11321,1998,5,18,0.007383,0.6,9.8,6.71
28.67591,77.11321,1998,5,19,0.009128,0.59,9.92,6.65
28.67591,77.11321,1998,5,20,0.005901,0.51,9.36,5.76
28.67591,77.11321,1998,5,21,0.004115,0.52,9.47,5.79
28.67591,77.11321,1998,5,22,0.004504,0.58,9.45,6.47
28.67591,77.11321,1998,5,23,0.00427,0.67,9.53,7.51
28.67591,77.11321,1998,5,24,0.005269,0.54,10.04,6.04
28.67591,77.11321,1998,5,25,0.005872,0.71,10.29,7.98
28.67591,77.11321,1998,5,26,0.004193,0.53,10.88,5.99
28.67591,77.11321,1998,5,27,0.005674,0.64,10.17,7.23
28.67591,77.11321,1998,5,28,0.005458,0.56,10.29,6.28
28.67591,77.11321,1998,5,29,0.003589,0.59,9.68,6.7
28.67591,77.11321,1998,5,30,0.002892,0.54,9.42,6.1
28.67591,77.11321,1998,5,31,0.003107,0.53,9.94,6.01
28.67591,77.11321,1998,6,1,0.005509,0.52,9.75,5.87
28.67591,77.11321,1998,6,2,0.005383,0.53,10.34,5.99
28.67591,77.11321,1998,6,3,0.005858,0.61,10.2,6.92
28.67591,77.11321,1998,6,4,0.008504,0.65,10.72,7.39
28.67591,77.11321,1998,6,5,0.006951,0.5,10.62,5.63
28.67591,77.11321,1998,6,6,0.007163,0.58,9.93,6.54
28.67591,77.11321,1998,6,7,0.008584,0.52,10.16,5.9
28.67591,77.11321,1998,6,8,0.009453,0.52,10,5.95
28.67591,77.11321,1998,6,9,0.010929,0.52,10.86,5.94
28.67591,77.11321,1998,6,10,0.013191,0.09,10.8,1.07
28.67591,77.11321,1998,6,11,0.015737,0.51,9.97,5.82
28.67591,77.11321,1998,6,12,0.014436,0.61,9.72,6.97
28.67591,77.11321,1998,6,13,0.010892,0.57,10.21,6.44
28.67591,77.11321,1998,6,14,0.009806,0.49,10.1,5.57
28.67591,77.11321,1998,6,15,0.010706,0.5,10.5,5.65
28.67591,77.11321,1998,6,16,0.017368,0.23,10.55,2.57
28.67591,77.11321,1998,6,17,0.018228,0.55,10.61,6.23
28.67591,77.11321,1998,6,18,0.016481,0.59,10.67,6.77
28.67591,77.11321,1998,6,19,0.012846,0.6,10.39,6.82
28.67591,77.11321,1998,6,20,0.010337,0.7,10.48,7.95
28.67591,77.11321,1998,6,21,0.010696,0.52,10.46,5.9
28.67591,77.11321,1998,6,22,0.012244,0.58,10.68,6.59
28.67591,77.11321,1998,6,23,0.012883,0.44,10.88,5.02
28.67591,77.11321,1998,6,24,0.013263,0.47,10.95,5.31
28.67591,77.11321,1998,6,25,0.012679,0.49,11.15,5.58
28.67591,77.11321,1998,6,26,0.012419,0.53,11.18,6
28.67591,77.11321,1998,6,27,0.014708,0.41,10.79,4.62
28.67591,77.11321,1998,6,28,0.016472,0.46,10.59,5.2
28.67591,77.11321,1998,6,29,0.01929,0.34,10.71,3.89
28.67591,77.11321,1998,6,30,0.020728,0.12,10.57,1.35
28.67591,77.11321,1998,7,1,0.020003,0.39,10.63,4.41
28.67591,77.11321,1998,7,2,0.01999,0.45,10.67,5.14
28.67591,77.11321,1998,7,3,0.02138,0.33,10.63,3.79
28.67591,77.11321,1998,7,4,0.021421,0.38,10.58,4.26
28.67591,77.11321,1998,7,5,0.021366,0.49,10.53,5.52
28.67591,77.11321,1998,7,6,0.021143,0.52,10.57,5.93
28.67591,77.11321,1998,7,7,0.021153,0.42,10.49,4.75
28.67591,77.11321,1998,7,8,0.021077,0.37,10.55,4.14
28.67591,77.11321,1998,7,9,0.021157,0.41,10.49,4.67
28.67591,77.11321,1998,7,10,0.021439,0.28,10.35,3.18
28.67591,77.11321,1998,7,11,0.020772,0.47,10.37,5.3
28.67591,77.11321,1998,7,12,0.020683,0.34,10.37,3.85
28.67591,77.11321,1998,7,13,0.01917,0.52,10.35,5.85
28.67591,77.11321,1998,7,14,0.020029,0.43,10.6,4.79
28.67591,77.11321,1998,7,15,0.020614,0.34,10.34,3.85
28.67591,77.11321,1998,7,16,0.021496,0.16,10.3,1.83
28.67591,77.11321,1998,7,17,0.02099,0.58,10.46,6.53
28.67591,77.11321,1998,7,18,0.020362,0.41,10.5,4.62
28.67591,77.11321,1998,7,19,0.020527,0.38,10.6,4.21
28.67591,77.11321,1998,7,20,0.019883,0.58,10.26,6.47
28.67591,77.11321,1998,7,21,0.018736,0.59,9.91,6.62
28.67591,77.11321,1998,7,22,0.017846,0.57,9.85,6.36
28.67591,77.11321,1998,7,23,0.017899,0.59,9.56,6.53
28.67591,77.11321,1998,7,24,0.018007,0.51,9.81,5.65
28.67591,77.11321,1998,7,25,0.017873,0.51,10.2,5.65
28.67591,77.11321,1998,7,26,0.017144,0.57,10.04,6.26
28.67591,77.11321,1998,7,27,0.01686,0.58,10.28,6.36
28.67591,77.11321,1998,7,28,0.016898,0.49,10.58,5.36
28.67591,77.11321,1998,7,29,0.019537,0.22,10.49,2.47
28.67591,77.11321,1998,7,30,0.019767,0.55,10.4,6
28.67591,77.11321,1998,7,31,0.019425,0.5,10.56,5.52
28.67591,77.11321,1998,8,1,0.019903,0.52,10.44,5.69
28.67591,77.11321,1998,8,2,0.019799,0.49,10.47,5.39
28.67591,77.11321,1998,8,3,0.020084,0.54,10.36,5.9
28.67591,77.11321,1998,8,4,0.020573,0.53,10.34,5.76
28.67591,77.11321,1998,8,5,0.018938,0.48,10.27,5.25
28.67591,77.11321,1998,8,6,0.018759,0.45,10.42,4.88
28.67591,77.11321,1998,8,7,0.018908,0.2,10.26,2.15
28.67591,77.11321,1998,8,8,0.019144,0.56,10.5,6
28.67591,77.11321,1998,8,9,0.019833,0.44,10.51,4.71
28.67591,77.11321,1998,8,10,0.019977,0.38,10.49,4.1
28.67591,77.11321,1998,8,11,0.020438,0.43,10.6,4.58
28.67591,77.11321,1998,8,12,0.02107,0.48,10.49,5.13
28.67591,77.11321,1998,8,13,0.019901,0.33,10.46,3.48
28.67591,77.11321,1998,8,14,0.021564,0.4,10.49,4.21
28.67591,77.11321,1998,8,15,0.020934,0.23,10.2,2.47
28.67591,77.11321,1998,8,16,0.021051,0.1,10.26,1.03
28.67591,77.11321,1998,8,17,0.020712,0.35,10.47,3.69
28.67591,77.11321,1998,8,18,0.019731,0.6,10.37,6.27
28.67591,77.11321,1998,8,19,0.019841,0.38,10.57,3.96
28.67591,77.11321,1998,8,20,0.020376,0.3,10.56,3.16
28.67591,77.11321,1998,8,21,0.020343,0.09,10.54,0.98
28.67591,77.11321,1998,8,22,0.020961,0.47,10.33,4.91
28.67591,77.11321,1998,8,23,0.020903,0.46,10.57,4.81
28.67591,77.11321,1998,8,24,0.021427,0.4,10.44,4.13
28.67591,77.11321,1998,8,25,0.021364,0.46,10.25,4.69
28.67591,77.11321,1998,8,26,0.020464,0.4,10.45,4.15
28.67591,77.11321,1998,8,27,0.021509,0.5,10.42,5.12
28.67591,77.11321,1998,8,28,0.02084,0.42,10.32,4.24
28.67591,77.11321,1998,8,29,0.02055,0.36,10.25,3.68
28.67591,77.11321,1998,8,30,0.019989,0.66,10.04,6.67
28.67591,77.11321,1998,8,31,0.018241,0.64,9.94,6.5
28.67591,77.11321,1998,9,1,0.016582,0.7,10.01,7.04
28.67591,77.11321,1998,9,2,0.016247,0.59,9.89,5.91
28.67591,77.11321,1998,9,3,0.016661,0.62,9.79,6.2
28.67591,77.11321,1998,9,4,0.017883,0.57,10,5.7
28.67591,77.11321,1998,9,5,0.018176,0.57,9.85,5.68
28.67591,77.11321,1998,9,6,0.017566,0.58,10.11,5.67
28.67591,77.11321,1998,9,7,0.018754,0.6,10,5.89
28.67591,77.11321,1998,9,8,0.017171,0.59,9.51,5.72
28.67591,77.11321,1998,9,9,0.017099,0.61,9.32,5.93
28.67591,77.11321,1998,9,10,0.016759,0.54,9.8,5.27
28.67591,77.11321,1998,9,11,0.018198,0.45,10.14,4.37
28.67591,77.11321,1998,9,12,0.01739,0.31,10.34,2.97
28.67591,77.11321,1998,9,13,0.018042,0.26,10.42,2.53
28.67591,77.11321,1998,9,14,0.01803,0.41,10.38,3.94
28.67591,77.11321,1998,9,15,0.017539,0.23,10.14,2.22
28.67591,77.11321,1998,9,16,0.018052,0.42,10.27,3.92
28.67591,77.11321,1998,9,17,0.018939,0.54,10.05,5.1
28.67591,77.11321,1998,9,18,0.019361,0.54,10.15,5.02
28.67591,77.11321,1998,9,19,0.019928,0.51,10.19,4.72
28.67591,77.11321,1998,9,20,0.020733,0.29,10.24,2.7
28.67591,77.11321,1998,9,21,0.020673,0.5,10.24,4.6
28.67591,77.11321,1998,9,22,0.020136,0.35,10.2,3.22
28.67591,77.11321,1998,9,23,0.01995,0.18,10.04,1.63
28.67591,77.11321,1998,9,24,0.020623,0.37,10.33,3.35
28.67591,77.11321,1998,9,25,0.020245,0.44,10.17,4
28.67591,77.11321,1998,9,26,0.019528,0.55,9.68,4.94
28.67591,77.11321,1998,9,27,0.019797,0.56,9.36,4.97
28.67591,77.11321,1998,9,28,0.017966,0.67,9.38,5.93
28.67591,77.11321,1998,9,29,0.015795,0.64,9.67,5.65
28.67591,77.11321,1998,9,30,0.016733,0.53,9.8,4.65
28.67591,77.11321,1998,10,1,0.017903,0.72,9.33,6.28
28.67591,77.11321,1998,10,2,0.017699,0.31,9.41,2.72
28.67591,77.11321,1998,10,3,0.01769,0.51,8.86,4.43
28.67591,77.11321,1998,10,4,0.017652,0.53,9.33,4.54
28.67591,77.11321,1998,10,5,0.017028,0.58,9.14,4.97
28.67591,77.11321,1998,10,6,0.016204,0.68,8.92,5.72
28.67591,77.11321,1998,10,7,0.015257,0.55,9.4,4.64
28.67591,77.11321,1998,10,8,0.014614,0.57,9.39,4.74
28.67591,77.11321,1998,10,9,0.014665,0.56,9.32,4.67
28.67591,77.11321,1998,10,10,0.013737,0.63,9.18,5.21
28.67591,77.11321,1998,10,11,0.011091,0.62,8.98,5.12
28.67591,77.11321,1998,10,12,0.011045,0.61,8.61,4.95
28.67591,77.11321,1998,10,13,0.012142,0.67,9,5.43
28.67591,77.11321,1998,10,14,0.01265,0.57,9.76,4.59
28.67591,77.11321,1998,10,15,0.011936,0.12,9.73,0.97
28.67591,77.11321,1998,10,16,0.014822,0.17,9.7,1.34
28.67591,77.11321,1998,10,17,0.018032,0.13,9.98,1.04
28.67591,77.11321,1998,10,18,0.015328,0.23,9.5,1.79
28.67591,77.11321,1998,10,19,0.015518,0.45,9.03,3.51
28.67591,77.11321,1998,10,20,0.012677,0.72,8.6,5.58
28.67591,77.11321,1998,10,21,0.009863,0.72,8.55,5.56
28.67591,77.11321,1998,10,22,0.009183,0.72,8.7,5.52
28.67591,77.11321,1998,10,23,0.012077,0.67,8.72,5.08
28.67591,77.11321,1998,10,24,0.011374,0.69,8.86,5.23
28.67591,77.11321,1998,10,25,0.009712,0.68,8.81,5.05
28.67591,77.11321,1998,10,26,0.008955,0.69,8.3,5.14
28.67591,77.11321,1998,10,27,0.008113,0.7,7.96,5.18
28.67591,77.11321,1998,10,28,0.007278,0.7,7.66,5.14
28.67591,77.11321,1998,10,29,0.007041,0.72,7.76,5.21
28.67591,77.11321,1998,10,30,0.007881,0.69,7.89,5.01
28.67591,77.11321,1998,10,31,0.008759,0.72,7.82,5.19
28.67591,77.11321,1998,11,1,0.008414,0.76,7.79,5.4
28.67591,77.11321,1998,11,2,0.006851,0.69,7.8,4.9
28.67591,77.11321,1998,11,3,0.006557,0.59,8.29,4.16
28.67591,77.11321,1998,11,4,0.006492,0.63,8.69,4.43
28.67591,77.11321,1998,11,5,0.008932,0.45,9.63,3.13
28.67591,77.11321,1998,11,6,0.010588,0.16,9.53,1.08
28.67591,77.11321,1998,11,7,0.011819,0.26,9.33,1.75
28.67591,77.11321,1998,11,8,0.012072,0.46,8.72,3.11
28.67591,77.11321,1998,11,9,0.011778,0.7,7.97,4.73
28.67591,77.11321,1998,11,10,0.009012,0.73,7.67,4.91
28.67591,77.11321,1998,11,11,0.006694,0.72,7.55,4.77
28.67591,77.11321,1998,11,12,0.006487,0.71,7.67,4.71
28.67591,77.11321,1998,11,13,0.005702,0.71,7.41,4.69
28.67591,77.11321,1998,11,14,0.005301,0.7,7.33,4.61
28.67591,77.11321,1998,11,15,0.006674,0.67,7.91,4.38
28.67591,77.11321,1998,11,16,0.006899,0.69,7.65,4.47
28.67591,77.11321,1998,11,17,0.006936,0.71,7.81,4.57
28.67591,77.11321,1998,11,18,0.007883,0.71,7.9,4.56
28.67591,77.11321,1998,11,19,0.007495,0.64,7.71,4.05
28.67591,77.11321,1998,11,20,0.006092,0.7,7.35,4.43
28.67591,77.11321,1998,11,21,0.004757,0.71,7.04,4.48
28.67591,77.11321,1998,11,22,0.004491,0.7,7.15,4.39
28.67591,77.11321,1998,11,23,0.00507,0.69,7.25,4.29
28.67591,77.11321,1998,11,24,0.005619,0.68,7.26,4.23
28.67591,77.11321,1998,11,25,0.004865,0.68,7.12,4.2
28.67591,77.11321,1998,11,26,0.004999,0.68,6.98,4.14
28.67591,77.11321,1998,11,27,0.004401,0.68,6.89,4.17
28.67591,77.11321,1998,11,28,0.004414,0.68,7.03,4.1
